Date,Ticker,simple_return
2003-10-30,AKAM,0.34228187919463093
2002-11-18,AMT,0.34545454545454524
2009-04-09,BAC,0.35347985347985333
2020-07-29,BBWI,0.3538681948424067
2008-10-28,AIG,0.35533294048320574
2001-11-26,AMZN,0.3555555555555554
2003-04-23,AKAM,0.35643564356435653
2001-05-01,BKNG,0.3587146349982535
2009-03-10,C,0.38064516129032255
2021-06-07,BIIB,0.38341371356678566
2020-03-24,BBWI,0.38955223880597023
2001-10-24,ACGL,0.3913043478260869
2001-04-19,AKAM,0.39380530973451333
2002-10-31,AES,0.3950617283950615
2022-09-28,BIIB,0.398503463269124
2002-07-29,AES,0.3999999999999999
2000-12-05,AKAM,0.4253135689851768
2008-09-19,AIG,0.43110585452395034
2009-03-18,AIG,0.43744821872410955
2020-11-04,BIIB,0.4397392818104531
2002-11-21,AKAM,0.4569536423841061
2000-03-06,A,0.47234701781564703
2016-04-22,AMD,0.5229007633587786
2008-11-24,C,0.5785302593659942
2009-08-05,AIG,0.6270588235294117
2009-03-16,AIG,0.65818759936407
